,fire_name,severity,fire_ig_date,dnbr_mean,pre_fire_ndvi,agbd,agbd_cf,agbd_diff,agbd_rel,rh_98,rh_98_cf,rh_98_diff,rh_98_rel,pai,pai_cf,pai_diff,pai_rel,rh_70,rh_70_cf,rh_70_diff,rh_70_rel,ndvi,ndvi_cf,ndvi_diff,ndvi_rel,rh_50,rh_50_cf,rh_50_diff,rh_50_rel
556,JACK,0.0,2007-10-29,4.344547859498671,0.0058336461597440345,11.384108316246264,5.708721129866415,11.523163724371624,0.05418065013419869,1.0067483772671157,0.4260642445608148,0.9698482831646932,0.032903317134167116,0.12613010350581344,0.04329992870365915,0.12612814636814368,0.06692054566776824,0.7378525694589319,0.3433351513480216,0.7394708211450279,0.049589882536570824,0.006725285087786824,0.004043866383795687,0.0041269563210455055,0.006095658588582284,0.5329786774995688,0.2556302229128772,0.5203165419001038,0.06409839883236323
557,JACK,1.0,2007-10-29,6.667106562621851,0.011568756195376402,19.835204878314627,14.539277384332612,22.042325621558245,0.09802360364683117,1.5868123799948717,1.0341641971821867,1.7960397157224315,0.06714082507672274,0.39422300066725335,0.09348220012660718,0.3752904343946023,0.16621316465875147,1.7204002450836908,0.7780466725056449,1.766642004793651,0.10955589247334026,0.013798445256437806,0.0078661887277419,0.00991627846736602,0.013550696465454376,1.3109670460873128,0.5207684397733475,1.2688074163794687,0.13728002696666572
558,JACK,2.0,2007-10-29,18.52742899055344,0.019301825573387728,12.160825104305456,13.609623278993846,13.88352950703541,0.06767880041974338,3.099024202444122,1.3515045295149524,2.0052811778744832,0.0945189064184939,0.7351158873489436,0.0976807610999695,0.8197444409828392,0.39424567189360454,1.2250817064881236,0.9407075996153831,1.7262498634196275,0.10934777955048432,0.006446260636173735,0.008960294887303401,0.0034683665902485337,0.004307713017424151,1.2590497177002564,0.669106705306479,1.6712434366301756,0.19051765295527445
559,JACKASS,0.0,2006-07-17,6.5,0.029575906693935394,5.375864505767822,5.106134971884323,0.2697295338834991,0.07240310408955991,1.0299999713897705,0.7582813603610057,0.2717186110287644,0.04779554154786059,0.054523490369319916,0.14913093451368756,0.09460744414436764,0.016154343471267762,0.4500000476837158,0.7950584352093849,0.345058387525669,0.0053256511185281186,0.009739135438959531,0.027733051523708183,0.01799391608474865,0.021596279033434224,0.2449999898672104,0.5234733154588439,0.27847332559163357,0.06649587019897689
560,JACKASS,1.0,2006-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,
561,JACKASS,2.0,2006-07-17,9.33129110409663,0.006268995515952294,0.7393005469050892,2.6387058668222827,2.2645105765590507,0.009825406855420755,0.22496099382680082,0.3476548461674324,0.2689897721298424,0.013642724192265459,0.01413313891863069,0.04125540189416026,0.03334966644003976,0.012992911246681222,0.06540581121591663,0.1845592999967678,0.136715876921378,0.008579478613522856,0.0037554153099238494,0.005237864938822221,0.006069230566060345,0.01083570783797633,0.029019893613388338,0.12815392210470572,0.11108596023628477,0.018574578839745833
562,JACKS,0.0,1997-08-09,10.65705206052263,0.007628170917120319,13.088288895440753,2.6990082907361095,12.435618083921925,0.20005013753128947,1.2181837545509395,0.3081403381847786,1.1222455398999782,0.09024085315868215,0.14406397749485206,0.04552648481666059,0.15220598877261826,0.23235773178289565,0.6037234541340739,0.1880991593203089,0.6087283951812322,0.1548992724877754,0.009960370105281691,0.0073850011744413776,0.005596929931331889,0.012807345791076258,0.4917974135784679,0.15181614371922733,0.5092892018424763,0.3661852380959707
563,JACKS,1.0,1997-08-09,5.888032750567698,0.0069192374121183915,5.230273612016675,1.6485890709262851,4.982686810730137,0.08933219154695607,0.6324047837299577,0.20799266325936502,0.6026033296444752,0.05035836843249227,0.11465422753281694,0.017850517889547876,0.11539887210801918,0.18147933567384658,0.3274171414803151,0.10159683883756981,0.3149996499863585,0.086233567620335,0.007605036034703177,0.006314859624382685,0.003250902066516436,0.00865434313635024,0.262122807754126,0.06206297108571868,0.26478528295949594,0.2347950638749471
564,JACKS,2.0,1997-08-09,5.819223384460789,0.0029328793295649307,0.7981695859258781,0.8882116671887059,1.2170225954589342,0.01441272465388709,0.13518256961957248,0.11411983134157433,0.18921812292182053,0.01200581755555646,0.015388379463184608,0.009309255273879609,0.017792713488890475,0.02217951172988788,0.049582445387668525,0.05587460856289178,0.07335460081808542,0.011335432833455172,0.003116819529399944,0.0029080353987088704,0.002019731028625555,0.00435287426271001,0.03594463343715586,0.0336999383405351,0.04781853879935259,0.021179089949631618
565,JACKSON,0.0,2001-06-13,10.889553196856172,0.013181558245709046,13.04631532168366,4.232094058115975,14.289697841686966,0.23324026495141703,1.1244229582835084,0.469585030306901,1.3162111346138856,0.10273157216070754,0.570785837166572,0.08876600469767125,0.5966371911460776,0.5912446509610592,1.1981113081901593,0.3659968118538163,1.3624712648190087,0.28196633578257446,0.02482740515752922,0.012355279300575445,0.01904421898366255,0.038124088997206367,1.322837232787452,0.2628298852727674,1.4243658370553047,0.5996588628585479
