,fire_name,severity,fire_ig_date,dnbr_mean,pre_fire_ndvi,agbd,agbd_cf,agbd_diff,agbd_rel,rh_98,rh_98_cf,rh_98_diff,rh_98_rel,pai,pai_cf,pai_diff,pai_rel,rh_70,rh_70_cf,rh_70_diff,rh_70_rel,ndvi,ndvi_cf,ndvi_diff,ndvi_rel,rh_50,rh_50_cf,rh_50_diff,rh_50_rel,fire_ig_year
643,LIONS,0.0,2018-06-11,16.240677966101696,0.5916454292413789,160.37629367968458,161.86594557643127,-1.489651896746694,0.9834323734242018,25.2684971936005,25.420012355194093,-0.15151516159359518,0.9922904840169369,1.1904591698062705,1.3283322155092372,-0.13787304570296666,0.8866848008625317,10.35105086948912,10.774604823546474,-0.4235539540573546,0.942221787898874,0.5391347767628752,0.6147065457290309,-0.07557176896615567,0.874842848101006,4.141875703592842,4.486397149484434,-0.3445214458915914,0.8895926637778713,2018
644,LIONS,1.0,2018-06-11,277.36915887850466,0.5928259847701758,91.89937938039547,142.6635092789426,-50.76412989854712,0.674354441934617,17.865514064503607,23.47003761539768,-5.60452355089407,0.7810379182463016,1.0224390653356608,1.5073801669126148,-0.4849411015769541,0.6667342034743095,5.87947042198196,10.02352080192687,-4.144050379944909,0.6076160067901216,0.4587676129858343,0.6264907121564156,-0.16772309917058137,0.7288247483537067,2.615545170178573,4.865086823892438,-2.2495416537138646,0.5432333048654652,2018
645,LIONS,2.0,2018-06-11,509.00067934782606,0.6255385274288127,63.54584906898115,161.99324840920235,-98.4473993402212,0.4303414189020063,12.497961956521738,24.86484586265798,-12.36688390613624,0.5265104156553947,0.8235888332917808,1.6547889713480328,-0.8312001380562518,0.5157003910940624,3.8194836923731086,11.316109125443523,-7.496625433070414,0.39430542019382103,0.44392674446643476,0.6535432359006416,-0.2096164914342068,0.6773706624599451,1.6979347863487657,5.758503649922437,-4.06056886357367,0.3556904030311059,2018
646,LMU LGT66,0.0,1994-09-18,56.826219512195124,0.5150820665606638,137.11559313681067,108.83051937018888,28.285073766621803,1.2825908305664508,19.14853651930646,20.346660158395828,-1.198123639089368,0.9465767380659564,0.6603901187275968,0.8640818282259904,-0.2036917094983936,0.7761318826662108,6.716829291204127,7.281849721250691,-0.5650204300465638,0.9384336595397493,0.5641114594901259,0.598858606102433,-0.034747146612307184,0.9421149419809011,1.2424390215154102,2.234804619752264,-0.9923655982368541,0.5837979654245176,1994
647,LMU LGT66,1.0,1994-09-18,237.9903846153846,0.4899347642293343,48.46575964414156,85.9406463691554,-37.47488672501384,0.4585409114829292,10.115384551194998,16.091307497228758,-5.975922946033759,0.6034941158730744,0.3255518057401507,0.7746531332025436,-0.44910132746239284,0.3791203837012385,2.330000008528049,6.212846177726129,-3.882846169198079,0.4103247272590976,0.5449198302445873,0.5674974043965442,-0.022577574151956773,0.9664019073458587,0.36423076553126943,2.104011122099335,-1.7397803565680654,0.04784952584884501,1994
648,LMU LGT66,2.0,1994-09-18,533.4615384615385,0.5118277772114828,9.913786952312176,87.6663032419763,-77.75251628966413,0.09755462074122004,4.879230737686157,15.152743410892187,-10.27351267320603,0.34187993920262816,0.20731060636731294,0.8607896102632095,-0.6534790038958966,0.20114444052101113,1.314615391767942,6.310313389984291,-4.9956979982163485,0.2372553794872831,0.5841752088872707,0.5902406275136999,-0.006065418626429205,0.988399766604911,0.10307692636090976,2.611982366004261,-2.5089054396433514,-0.0691297810951137,1994
649,LOST,0.0,1987-08-31,100.6867088607595,0.4230748039163366,37.83701051809365,55.98134946981994,-18.144338951726283,0.6185655636212944,10.473417715181279,13.183881785253527,-2.7104640700722475,0.7515814695075348,0.4390953276847943,0.5207256333828095,-0.0816303056980152,0.7790721394956869,2.442025324966334,3.3322972331930267,-0.8902719082266932,0.6903667131655613,0.4545903931689571,0.48940714904648136,-0.03481675587752424,0.9269571382393312,0.5738924053450457,0.8524912261548847,-0.2785988208098391,0.4983765813524555,1987
650,LOST,1.0,1987-08-31,276.63293103448274,0.45346506347944,19.17124764857621,44.564527129325576,-25.393279480749364,0.42272910000681796,4.985075861667765,10.643636406716,-5.658560545048236,0.45040669715607556,0.24102026368955007,0.4678592346796716,-0.22683897099012154,0.4520757349144563,1.2790275831160873,2.7185021484361878,-1.4394745653201007,0.46328285255107043,0.4420091766232562,0.4853884180122255,-0.04337924138896929,0.9117510757527515,0.23611034487855845,0.7151408426730489,-0.4790304977944904,0.16774855460163407,1987
651,LOST,2.0,1987-08-31,454.25218818380745,0.5041674232065547,20.268903723691693,68.42772730834253,-48.158823584650825,0.32185601813604137,4.937177247500263,15.018814209804509,-10.081636962304247,0.33186713589261796,0.26835844601317016,0.6740073151157087,-0.40564886910253845,0.4133516549229863,1.322363236996486,4.577356905628553,-3.254993668632067,0.31106617667517694,0.4597062601454665,0.5403970281404838,-0.08069076799501729,0.8552614789351406,0.24560175025407674,1.3827473923836797,-1.137145642129603,0.17380726002300778,1987
652,LOST BEAR,0.0,1987-07-23,53.9,0.5815018309014184,86.47764031546457,144.53964753352244,-58.0620072180579,0.654126040281203,23.610285799843926,26.01740823516087,-2.4071224353169485,0.9027522517131406,0.570038676900523,1.1593114971755025,-0.5892728202749797,0.5264210893841604,4.936857153688158,9.270000895647154,-4.333143741958996,0.6202245458292733,0.6205968177351774,0.6260879417663319,-0.005491124031154412,0.9905656291975197,1.1157142676413059,3.5447902446818467,-2.4290759770405406,0.3966356450490196,1987
653,LOST BEAR,0.0,1999-07-11,104.70833333333333,0.5806487202644348,97.71145979563396,180.31337229992278,-82.6019125042888,0.5276859120130309,21.699166774749756,29.587325846143386,-7.8881590713936305,0.7188078195795877,0.942051467175285,1.1676139247309387,-0.22556245755565363,0.7594882621068145,5.71000008781751,11.733486237018882,-6.023486149201372,0.47496898058916814,0.5693971944176827,0.6305590904487229,-0.06116189603104025,0.9013413566491045,1.763333287090063,4.29335138491096,-2.530018097820897,0.4029933067450193,1999
654,LOST BEAR,1.0,1987-07-23,268.97727272727275,0.5699930184266784,41.45038574392145,157.09562228246594,-115.64523653854445,0.27151347024608985,11.471818230368875,27.037454598144098,-15.565636367775227,0.42799262956901923,0.38228692317550833,1.2443990147566018,-0.8621120915810934,0.3334245330119886,2.4327272772789,10.21062353512071,-7.777896257841809,0.24214008190624822,0.6269372219707128,0.6101734817839726,0.016763740186740175,1.0234626932490654,0.48863636126572435,4.1351204123373675,-3.646484051071643,0.13664986273504523,1987
655,LOST BEAR,1.0,1999-07-11,198.33333333333334,0.5701964596907297,46.54753303527832,156.0133707275148,-109.46583769223646,0.32746215410735896,17.78999964396159,27.243024738640035,-9.453025094678447,0.6755374042600336,0.24018923938274384,0.997008870498465,-0.7568196311157211,0.24375528593229293,1.3200000127156575,9.545999633604234,-8.225999620888578,0.14763586298112727,0.5182533641082122,0.5948710280011984,-0.07661766389298623,0.8982744226141285,0.12666666073103747,3.0933296285096823,-2.9666629677786447,0.030737555658311877,1999
656,LOST BEAR,2.0,1987-07-23,466.27777777777777,0.5888633463117812,29.95227601793077,166.73562131975146,-136.7833453018207,0.1917072743439682,8.979999992582533,28.65289583418682,-19.672895841604284,0.32171742055503955,0.2661031087239583,1.3335877302618153,-1.067484621537857,0.22641138873932054,1.5777777764532301,10.431401732700287,-8.853623956247056,0.16151459889585226,0.6470139922850471,0.630219551126801,0.01679444115824613,1.0260516738718357,0.25333333015441895,4.350852386625856,-4.097519056471437,0.07767593783837666,1987
657,LOWELL,0.0,2015-07-25,91.2431506849315,0.8106808960830101,366.3377579989499,323.1197641810206,43.217993817929255,1.1165692252273383,36.4589043382096,34.1293383964242,2.329565941785393,1.067124149716035,3.105827437637195,3.1597639255335404,-0.05393648789634513,0.9674022272427611,23.73986312951127,22.044691263301797,1.6951718662094721,1.0582223230624956,0.7161441116287952,0.8019214884026533,-0.08577737677385805,0.8931381248493941,16.273835634506526,15.92142342519459,0.3524122093119342,0.9762817480945947,2015
658,LOWELL,1.0,2015-07-25,267.53205128205127,0.7526225564545116,184.22906983204376,232.48271194951457,-48.25364211747081,0.7347815524061324,23.83512820341648,27.979639940119387,-4.1445117367029045,0.8137150003034359,2.2272526520567064,2.6231832776918003,-0.39593062563509407,0.7741744727472594,13.098974393728453,16.734902012084596,-3.6359276183561438,0.7342900954168521,0.6141092300941223,0.7480481622788568,-0.13393893218473454,0.8155719257417838,8.377692426148897,11.428917118884264,-3.051224692735367,0.6661414481585103,2015
659,LOWELL,2.0,2015-07-25,657.360696517413,0.7712430758748559,109.24872826343746,231.60632976213677,-122.35760149869932,0.4741780783481104,17.638507443280954,28.15137799771583,-10.512870554434876,0.6267378963585454,1.6919749155559516,2.7748851228810567,-1.082910207325105,0.609217141504273,8.333830858344463,17.073100405869003,-8.73926954752454,0.4947051536360709,0.5671730916846696,0.7645856162793202,-0.19741252459465067,0.7387909372933377,4.780845767906427,11.909926095604375,-7.129080327697948,0.41393483818833243,2015
660,LOYALTON,0.0,2020-08-14,80.34042553191489,0.5959383234596949,154.13382346579368,87.82128424659267,66.31253921920101,1.74153862962885,21.37765954403167,17.697449866880213,3.6802096771514594,1.199495842672488,0.8659638759501754,0.9089284761556073,-0.04296460020543192,1.0502017776509893,7.600000003550915,5.961979021306976,1.6380209822439382,1.264089430503755,0.4949581065928426,0.5544210205307251,-0.05946291393788247,0.8919755901033095,2.4197872299304666,2.110815171948848,0.30897205798161875,1.4519829308250904,2020
661,LOYALTON,1.0,2020-08-14,289.2387218045113,0.5717164036140427,83.75026767773736,82.61522445681723,1.1350432209201193,1.0208609377317028,14.72593989587368,16.697344799933436,-1.9714049040597554,0.8784340869446439,0.5579791678206757,0.9498412768013239,-0.39186210898064816,0.5804787766685213,4.560300773023663,5.750990788266598,-1.1906900152429354,0.8088069765593133,0.36872934268291757,0.5314484971673292,-0.16271915448441165,0.6993889347866097,1.2494736850905912,2.2163835653916193,-0.9669098803010283,0.5560267384059849,2020
662,LOYALTON,2.0,2020-08-14,686.8773445212241,0.6353923348096223,37.828900817351425,97.70189627220049,-59.87299545484907,0.40384824552991716,9.007956571899067,18.14537861616249,-9.13742204426342,0.507158836627407,0.5338771557525032,1.239446439975043,-0.7055692842225397,0.4192112904981503,2.686831189755273,7.15339047716173,-4.466559287406456,0.3890937372696294,0.31656802138238954,0.5825284595172426,-0.2659604381348531,0.5541671268284919,0.9364758157350587,3.313016895246486,-2.3765410795114272,0.26946853649612773,2020
663,LUCAS COMPLEX,0.0,1994-06-27,109.47222222222223,0.4063310979141129,71.95949485566881,66.44237901127943,5.517115844389387,1.0210525548685065,13.127777708901299,12.854914734175502,0.2728629747257983,1.0048687564536007,0.8872019828090237,0.9214298809564654,-0.03422789814744168,0.8650525040632172,5.629999925692876,5.048498515792323,0.5815014099005528,1.0531129365820364,0.4288174030465452,0.4764144726864252,-0.04759706963988007,0.8965877588303306,2.8311110959491796,2.3579610950553307,0.47315000089384884,0.9986173741167585,1994
664,LUCAS COMPLEX,1.0,1994-06-27,251.625,0.35453012865036726,41.62270700931549,52.14626736198647,-10.523560352670977,0.8081626903861724,10.732499897480011,11.369106823012356,-0.6366069255323452,0.9455863884982583,0.2135892028163653,0.6610612328889672,-0.44747203007260195,0.34750687138384,2.508750006556511,3.973698531889644,-1.4649485253331334,0.6679690094956817,0.3879386375457474,0.41474160576494745,-0.026802968219200068,0.932647340875407,0.056249991059303284,1.5085525525895185,-1.4523025615302152,0.09676363640728172,1994
665,LUMPKIN,0.0,2015-09-11,131.27941176470588,0.7954390417133412,196.9953063516056,211.046668379078,-14.051362027472427,0.9443762926425577,27.152548902175006,26.40906488762558,0.7434840145494278,1.0307201375037192,2.6053279433764662,3.0292504671500184,-0.42392252377355255,0.8636776923818925,14.958823475183225,16.347317672664353,-1.3884941974811278,0.9272199781576752,0.7635450744763369,0.7924747558087898,-0.028929681332452974,0.9637466346028307,9.676862732452506,11.694367359405874,-2.017504626953369,0.8547198162838723,2015
666,LUMPKIN,1.0,2015-09-11,254.06182795698925,0.7934633969103744,136.66105813877556,206.67955883873813,-70.01850069996259,0.6699417425145978,22.344408527497322,26.099380618790484,-3.7549720912931583,0.8618065638701855,1.7524540243289803,2.9791692613105174,-1.2267152369815368,0.5974621582244123,10.724623676269285,16.098710760522813,-5.37408708425353,0.6692486732997384,0.7456557427411407,0.7898581806372139,-0.044202437896073206,0.9429525349289118,5.8206451489560065,11.493883332030387,-5.673238183074382,0.5103602958795129,2015
667,LUMPKIN,2.0,2015-09-11,625.8936335403727,0.781478774545662,78.9137289538887,192.03169095259685,-113.11796199870814,0.43412421254713196,15.461645932671447,25.102416966994436,-9.640771034322992,0.6284979660526243,1.373352091047936,2.870948584096856,-1.49759649304892,0.48481382008507995,6.318074540599532,15.20557830972918,-8.88750376912965,0.4343637872804632,0.6516948940164478,0.7831116027540445,-0.13141670873759664,0.8304227672368385,3.55854036268541,10.870849933041779,-7.312309570356369,0.34687668371327357,2015
668,MADALANNA,0.0,1996-07-25,130.35714285714286,0.5326452595846993,192.1069941520691,87.0262578356941,105.080736316375,2.041813419915143,21.310000283377512,17.912899057800242,3.3971012255772686,1.1513837421586184,0.7798446672303336,0.9043709205553776,-0.12452625332504394,0.8527343715291912,11.048571450369698,6.170268635231059,4.87830281513864,1.6523842749761009,0.5624199486754999,0.5747228688785558,-0.01230292020305594,0.9768785886023368,3.558571392936366,2.241636986553271,1.3169344063830952,1.696050543313368,1996
669,MADALANNA,1.0,1996-07-25,236.46428571428572,0.522024290902274,83.38813014825185,83.16653489137072,0.2215952568811439,0.9477513353725141,13.393809613727388,17.147921381461646,-3.754111767734257,0.7626243738838374,0.27703179303734077,0.9944748642762017,-0.717443071238861,0.3050475750502207,2.3228571244648526,6.092152212221644,-3.769295087756792,0.41677777338177935,0.4940029276845205,0.5530850323749251,-0.05908210469040471,0.8881359443849087,0.26714285782405306,2.4403392567191258,-2.173196398895073,0.12372371446268596,1996
670,MADALANNA,2.0,1996-07-25,510.64285714285717,0.5034405099494117,53.009813853672576,87.13823885546687,-34.128425001794305,0.5781102182640351,10.491428545543126,16.88101902574433,-6.389590480201204,0.6270583798531558,0.993568792673094,1.3213159096238336,-0.3277471169507397,0.7082928124308945,4.36428575856345,6.9307127873318235,-2.566427028768374,0.5985722689002151,0.41782701993091387,0.5388802646116343,-0.12105324468072043,0.7640566968988063,2.0428570894790545,3.431473767998331,-1.3886166785192766,0.49911583697328193,1996
671,MANTER,0.0,2000-07-22,63.2549889135255,0.3686599873539118,63.5720173214333,65.51747279022888,-1.945455468795579,0.945414308876771,12.423109765592013,13.069804214623662,-0.6466944490316501,0.9479266354142211,0.8008307038146606,0.9242346799718574,-0.12340397615719677,0.8625173049118605,4.279307103796373,4.697783614940931,-0.41847651114455875,0.8987011000964913,0.3660822492533588,0.3857062575601762,-0.019624008306817375,0.9501473510580413,1.7702771595218725,2.0774011164689012,-0.3071239569470287,0.8409990746170594,2000
672,MANTER,1.0,2000-07-22,272.00920745920746,0.39844222942015506,56.51797721491549,76.16849500243046,-19.65051778751496,0.6676860018943342,10.836620046486665,14.314051676943892,-3.4774316304572253,0.7346810450937689,0.43637034509353784,0.8795672344970781,-0.44319688940354024,0.47229513510231796,3.06217715947917,4.900904429488869,-1.8387272700096988,0.5890577820952629,0.35700524600267375,0.4121837871796109,-0.055178541176937185,0.8615388780977304,0.8427505824341501,2.029588447148068,-1.1868378647139175,0.3392154176893471,2000
673,MANTER,2.0,2000-07-22,477.70859508852084,0.4161269988190236,27.051901820930055,77.10795738940091,-50.05605556847086,0.34194566650744873,7.481159349634333,14.44483797166671,-6.9636786220323765,0.5241487496455481,0.290730548501778,0.9812472597578985,-0.6905167112561206,0.2784163203039139,2.0880639624810096,5.260424918115812,-3.1723609556348022,0.3954090805401101,0.36497219558403043,0.4263323207518237,-0.061360125167793246,0.8561381850501106,0.4087435760886873,2.347704336460772,-1.9389607603720846,0.130556634765111,2000
674,MANTON,0.0,2005-08-26,62.328947368421055,0.5873005115672162,75.6019068266216,89.94810498837624,-14.346198161754629,0.8404572154985477,13.522631620105944,16.050486681616913,-2.527855061510969,0.8439546214270207,1.2859988290951343,1.2968677710238818,-0.010868941928747761,0.9734338196641318,6.3181578203251485,7.379121846636615,-1.0609640263114661,0.8324063337057548,0.5873602757724709,0.6302887125638712,-0.04292843679140039,0.930705807061042,3.9057894877501225,4.163530523638018,-0.2577410358878951,0.8933751225633437,2005
675,MANTON,1.0,2005-08-26,295.63690476190476,0.6051325815774146,62.07276307968866,79.1896023619909,-17.11683928230224,0.759749611164171,11.126666659400577,15.191753813583732,-4.065087154183156,0.7280629691642242,1.0006611688461686,1.2643224002642026,-0.26366123141803405,0.7161053613332217,5.067380929277057,6.709967182098954,-1.6425862528218975,0.7069892663493244,0.5709398550353386,0.6518383780649627,-0.08089852302962411,0.8753535877170032,2.9688095408713533,3.5476106275902914,-0.5788010867189378,0.7502052035466369,2005
676,MANTON,2.0,2005-08-26,534.5270833333333,0.6393407671401898,38.58709960778554,78.6352419191824,-40.048142311396866,0.46579366528479665,7.942499987284342,15.220939367342968,-7.278439380058626,0.5089065213332967,0.6669625548568244,1.1407827852887091,-0.4738202304318847,0.5232333065904455,2.9445833399891854,6.53994136629191,-3.5953580263027254,0.4166036993312731,0.5816710082177928,0.6525185726019175,-0.07084756438412469,0.8935905216022516,1.3200000061343113,3.261194272204678,-1.9411942660703672,0.31534256169176555,2005
677,MANTON 3,0.0,1998-08-02,40.96341463414634,0.5175387408675217,53.67895772980481,63.24906438028457,-9.570106650479758,0.9591251117628078,11.37097559324125,12.981979015065946,-1.611003421824696,0.9088448738353951,0.937320594562263,1.1295980592233528,-0.1922774646610899,0.8283245617929985,4.469512205298354,5.469673433948204,-1.0001612286498494,0.8379876088463942,0.5279830887186293,0.5611711533239724,-0.03318806460534305,0.9466741900616586,2.113414630248416,2.7102334142245157,-0.5968187839760999,0.7961035789478075,1998
678,MANTON 3,1.0,1998-08-02,190.375,0.5169122777879238,28.25937509536743,46.61379645610377,-18.35442136073634,0.6037660373731062,7.932499885559082,11.140316916009336,-3.207817030450254,0.7096342074818831,0.49087658151984215,0.7548988176173863,-0.26402223609754416,0.6384195532392056,2.0074999630451202,4.007528442953805,-2.0000284799086847,0.4910726007910103,0.5727784285913768,0.5600739282163245,0.012704500375052302,1.0256696700118397,0.5299999881535769,1.453593463081374,-0.9235934749277972,0.34623446812103353,1998
679,MARTIS,0.0,2001-06-17,124.26190476190476,0.41463074017138707,95.48347450438,82.47407448310908,13.009400021270928,1.171124498535057,17.354285853249685,15.534622062540844,1.8196637907088398,1.1318915403697145,1.7053273155220918,1.2144275065070147,0.490899809015077,1.336123955458901,7.411428576424008,6.252230409780658,1.1591981666433497,1.1966656289630306,0.47134113373839365,0.4613544570292859,0.00998667670910776,1.0362602948551802,4.209523811226799,3.1913428822314165,1.018180928995383,1.3040927244507325,2001
680,MARTIS,1.0,2001-06-17,293.2164179104478,0.4951691118194096,75.6511221080277,97.13730893492179,-21.486186826894066,0.7859494682545763,14.155174098797698,17.549902987820815,-3.3947288890231153,0.8239600901353091,1.2618973321392577,1.4082421986509512,-0.1463448665116936,0.9134546923858924,5.5866666858024265,7.26519860595409,-1.6785319201516635,0.7865930680999775,0.5083304342713796,0.5482997883785726,-0.03996935410719303,0.92550144307628,3.150149243054402,3.809147675468384,-0.6589984324139823,0.8431272085749957,2001
681,MARTIS,2.0,2001-06-17,507.95966135458167,0.5567188538996822,47.17348091725809,105.59367401896672,-58.420193101708634,0.4656140176903115,10.05900399570921,19.04912299000457,-8.99011899429536,0.5451760580805525,0.968426910040722,1.4842548378140712,-0.5158279277733492,0.6522975046184429,4.004721124333689,7.9297043670007685,-3.9249832426670794,0.5202697402672546,0.5471441496186532,0.6162824250869413,-0.06913827546828803,0.8862391877651906,2.018964134242044,4.088783740242166,-2.069819606000122,0.49220998507153974,2001
682,MASON,0.0,1988-07-19,35.07450980392157,0.47390016743949814,85.24637877520392,94.67216683316192,-9.425788057957993,0.8754554150149978,16.120941134995107,17.45515106843047,-1.3342099334353672,0.911994984082589,1.2762862646386173,1.3546919423705506,-0.07840567773193316,0.936516008021517,7.000666669303295,7.586407467836707,-0.5857407985334109,0.8952067306438599,0.6052368157833687,0.6105980721661161,-0.0053612563827473945,0.9884903104419361,3.6744705865196154,4.049285935425119,-0.3748153489055031,0.8691316645747471,1988
683,MASON,1.0,1988-07-19,278.7224842767296,0.4908523368854193,56.06633352483593,86.91681482121167,-30.850481296375744,0.6282201237978834,11.41481132777232,16.194581074395096,-4.779769746622776,0.6851612265191198,1.0805430816231683,1.348286605005724,-0.2677435233825558,0.7593958036103519,4.701698131156418,6.9313794073049175,-2.2296812761484994,0.6578532607717273,0.5890445668159301,0.6048789247664629,-0.01583435795053274,0.970911283092644,2.430283020935812,3.8318868191279365,-1.4016037981921246,0.596745248605869,1988
684,MASON,2.0,1988-07-19,485.68579766536965,0.5772417673572956,64.38190416417697,113.82181747041078,-49.439913306233805,0.5567027711990736,12.495914371097134,19.311447803939878,-6.815533432842743,0.6380618213659577,1.1288667653081668,1.6788774717011643,-0.5500107063929978,0.6682596355138642,5.65198442432667,9.1734819756854,-3.5214975513587294,0.60379122125809,0.6720607481409111,0.6810848123794814,-0.009024064238570266,0.9870642090464349,3.0197276294825723,5.306793100362297,-2.2870654708797242,0.550236007667853,1988
685,MCCORMICK,0.0,2017-08-19,86.35040983606558,0.6951462522397666,205.9267328215427,170.15411552946648,35.77261729207624,1.2782456671509923,29.292213318777865,26.37979949862577,2.912413820152095,1.1260930810747138,1.432660919033968,1.5513851909857503,-0.11872427195178237,0.9321055774808433,13.247623005362808,12.09184509359982,1.1557779117629867,1.1217274035992415,0.5915036213935696,0.6649103572657421,-0.07340673587217256,0.8892522088894746,5.799754079064874,5.772824858293663,0.026929220771211078,1.061433332659451,2017
